users,total,day
1642,1733.2820709706223,2023-09-18 00:00:00.000 UTC
108,67.7742775628745,2024-06-03 00:00:00.000 UTC
650,1312.8510527402066,2023-12-22 00:00:00.000 UTC
511,1813.8375873751327,2023-12-19 00:00:00.000 UTC
788,355.12872649486286,2024-02-16 00:00:00.000 UTC
5018,3021.811358033302,2024-04-21 00:00:00.000 UTC
69,28.382280007206237,2024-06-11 00:00:00.000 UTC
10034,3951.31218776037,2023-08-12 00:00:00.000 UTC
535,805.3955772468121,2024-02-29 00:00:00.000 UTC
125,14.638293775553459,2024-06-14 00:00:00.000 UTC
2131,626.7493215206432,2023-08-28 00:00:00.000 UTC
876,892.8199236317479,2024-01-05 00:00:00.000 UTC
2817,1468.9719987685799,2023-09-24 00:00:00.000 UTC
3491,2249.8220709254974,2024-04-25 00:00:00.000 UTC
4621,1835.4720814259874,2024-03-23 00:00:00.000 UTC
1997,654.6475627743662,2023-09-15 00:00:00.000 UTC
9385,3440.4955415876843,2023-08-07 00:00:00.000 UTC
261,78.8464775503561,2024-05-30 00:00:00.000 UTC
635,1120.7632490481135,2023-12-16 00:00:00.000 UTC
1542,662.706439831992,2023-10-20 00:00:00.000 UTC
1055,866.3108715795561,2023-12-30 00:00:00.000 UTC
2994,2581.6387428401795,2024-04-23 00:00:00.000 UTC
2760,950.3356221573563,2023-10-10 00:00:00.000 UTC
1235,1118.0794282337067,2024-03-11 00:00:00.000 UTC
519,562.9868969776312,2024-01-26 00:00:00.000 UTC
4623,23.931450181662115,2023-07-14 00:00:00.000 UTC
588,749.9226700934557,2024-01-22 00:00:00.000 UTC
623,647.1692423576209,2024-02-08 00:00:00.000 UTC
3596,397.85706608019814,2023-07-29 00:00:00.000 UTC
637,1057.6333514756602,2023-12-27 00:00:00.000 UTC
6076,6244.7479093930315,2024-03-25 00:00:00.000 UTC
1079,4489.447434921801,2023-12-25 00:00:00.000 UTC
882,371.18400914437353,2023-12-24 00:00:00.000 UTC
1826,2787.0861841861793,2024-03-14 00:00:00.000 UTC
4998,5827.25474140129,2023-08-15 00:00:00.000 UTC
3091,951.4598464704547,2023-10-03 00:00:00.000 UTC
1534,1247.1766003680964,2024-02-05 00:00:00.000 UTC
3451,2495.825011251546,2024-04-09 00:00:00.000 UTC
1373,623.7731320405114,2023-11-25 00:00:00.000 UTC
6798,2443.157161115102,2023-08-20 00:00:00.000 UTC
3462,2752.9966565070563,2024-04-12 00:00:00.000 UTC
100,33.89504203359614,2024-06-13 00:00:00.000 UTC
561,382.8188232287776,2023-11-09 00:00:00.000 UTC
4731,16.612359094262178,2023-07-17 00:00:00.000 UTC
405,34.98180451044567,2024-05-22 00:00:00.000 UTC
482,401.668309302893,2023-12-21 00:00:00.000 UTC
2841,1595.7499456878838,2023-08-17 00:00:00.000 UTC
9504,19.84178766902672,2023-07-16 00:00:00.000 UTC
920,763.3151372292432,2023-11-28 00:00:00.000 UTC
5785,4326.3503453200165,2024-03-24 00:00:00.000 UTC
3079,2478.637888936334,2024-04-19 00:00:00.000 UTC
13027,3002.8444196626515,2023-08-05 00:00:00.000 UTC
713,560.6562444657576,2023-10-24 00:00:00.000 UTC
2031,443.29102999228905,2023-10-29 00:00:00.000 UTC
4427,3901.5916079224858,2024-04-10 00:00:00.000 UTC
899,889.529123319571,2023-11-22 00:00:00.000 UTC
956,1019.0281643719824,2023-11-20 00:00:00.000 UTC
2772,1713.8701002404666,2023-09-16 00:00:00.000 UTC
2466,1034.645873288515,2023-08-18 00:00:00.000 UTC
1486,1435.7205995284762,2023-09-06 00:00:00.000 UTC
2837,927.3481634921286,2023-10-08 00:00:00.000 UTC
1143,723.3107768231296,2024-03-09 00:00:00.000 UTC
1261,1274.6373377705306,2024-03-08 00:00:00.000 UTC
1242,245.53761126798852,2023-11-03 00:00:00.000 UTC
835,364.02302595889455,2024-02-11 00:00:00.000 UTC
2382,1926.926656763972,2024-05-01 00:00:00.000 UTC
4040,21.49143680763992,2023-07-22 00:00:00.000 UTC
2667,4526.47190017603,2024-05-20 00:00:00.000 UTC
2023,980.773393018194,2023-09-19 00:00:00.000 UTC
58,13.247019927845066,2024-06-15 00:00:00.000 UTC
2816,3568.3190937796126,2024-05-05 00:00:00.000 UTC
953,1196.9530178121897,2024-03-02 00:00:00.000 UTC
93,40.158070549422625,2024-06-06 00:00:00.000 UTC
782,278.18544249424247,2023-11-29 00:00:00.000 UTC
2078,1620.9208401405579,2024-03-15 00:00:00.000 UTC
1619,2049.763016096478,2023-09-12 00:00:00.000 UTC
2968,1457.4736127058895,2023-09-23 00:00:00.000 UTC
1060,2132.388662436129,2023-12-26 00:00:00.000 UTC
616,931.843179333876,2024-01-08 00:00:00.000 UTC
1832,1017.4563040953052,2023-11-18 00:00:00.000 UTC
3417,3047.880851706451,2024-04-16 00:00:00.000 UTC
2064,46.221738161382554,2023-07-21 00:00:00.000 UTC
2679,3870.6237657708543,2024-04-30 00:00:00.000 UTC
947,1246.575122946335,2024-01-27 00:00:00.000 UTC
13571,6844.296541565981,2023-08-11 00:00:00.000 UTC
4272,2688.2501620457365,2024-04-27 00:00:00.000 UTC
3772,1731.228436605867,2023-08-22 00:00:00.000 UTC
467,816.1005464097539,2023-12-28 00:00:00.000 UTC
431,330.0634772822001,2023-11-10 00:00:00.000 UTC
1121,870.6086736563958,2024-03-13 00:00:00.000 UTC
2470,984.9908326543905,2023-10-11 00:00:00.000 UTC
1779,2118.7450102737375,2024-05-21 00:00:00.000 UTC
635,626.9305044633816,2024-01-02 00:00:00.000 UTC
802,527.2529452817108,2024-02-28 00:00:00.000 UTC
4,0.2254022370663692,2023-06-29 00:00:00.000 UTC
1,0.005,2023-07-05 00:00:00.000 UTC
1008,2287.078332847782,2024-02-03 00:00:00.000 UTC
2248,808.9495753414724,2023-10-22 00:00:00.000 UTC
3222,2290.4270553535957,2024-05-10 00:00:00.000 UTC
3889,1608.1362510110687,2023-08-27 00:00:00.000 UTC
2201,2271.9485452958374,2023-09-02 00:00:00.000 UTC
2127,2424.548707190916,2024-03-19 00:00:00.000 UTC
4462,2897.3020933368684,2024-04-20 00:00:00.000 UTC
3480,3308.2305090089417,2024-04-14 00:00:00.000 UTC
1126,719.8772832704564,2023-11-17 00:00:00.000 UTC
2505,919.3888413877689,2023-10-17 00:00:00.000 UTC
1568,1482.973303647328,2023-09-21 00:00:00.000 UTC
2309,2644.841707732365,2023-09-28 00:00:00.000 UTC
4001,868.2069901857512,2023-08-01 00:00:00.000 UTC
1189,614.5727668034805,2024-01-01 00:00:00.000 UTC
593,1030.150673322154,2023-12-13 00:00:00.000 UTC
5133,3753.8034970856875,2024-04-01 00:00:00.000 UTC
7479,9160.817404095775,2024-03-26 00:00:00.000 UTC
651,1229.690938562165,2024-01-12 00:00:00.000 UTC
474,366.5138676412784,2024-01-31 00:00:00.000 UTC
4031,14.708047621363194,2023-07-19 00:00:00.000 UTC
3973,2855.067335780797,2024-04-26 00:00:00.000 UTC
7640,11228.728869615883,2024-03-30 00:00:00.000 UTC
1145,21.843670369166674,2023-07-25 00:00:00.000 UTC
3126,1247.3102210771328,2023-10-05 00:00:00.000 UTC
872,1115.2167428118382,2024-03-03 00:00:00.000 UTC
566,931.7150909946852,2024-02-27 00:00:00.000 UTC
976,340.7227270439339,2023-12-03 00:00:00.000 UTC
1914,1047.9024370551224,2023-09-22 00:00:00.000 UTC
2081,1848.3788105647238,2023-09-03 00:00:00.000 UTC
3000,3612.0135615651884,2024-05-17 00:00:00.000 UTC
2476,592.1268632937617,2023-10-18 00:00:00.000 UTC
756,299.9732088871251,2024-02-13 00:00:00.000 UTC
1468,2059.8529004711936,2023-09-08 00:00:00.000 UTC
121,61.48236054399422,2024-06-05 00:00:00.000 UTC
455,432.5390429325548,2023-11-14 00:00:00.000 UTC
3644,1265.8293536122808,2023-08-25 00:00:00.000 UTC
788,273.3232024642852,2023-11-24 00:00:00.000 UTC
1242,311.6819163608507,2023-11-12 00:00:00.000 UTC
2,0.07822109799999999,2023-06-16 00:00:00.000 UTC
1200,532.8654487875792,2023-10-23 00:00:00.000 UTC
757,480.9831642078954,2024-02-10 00:00:00.000 UTC
1130,811.5811115306133,2024-01-28 00:00:00.000 UTC
542,781.2107259101375,2024-02-02 00:00:00.000 UTC
701,4248.6335377996575,2023-11-30 00:00:00.000 UTC
