block_date,starknet_tx_count,zksync_tx_count,starknet_user_count,zksync_user_count,starknet_bridged_amount_usd,zksync_bridged_amount_usd,starknet_balance_amount_usd,zksync_balance_amount_usd
2022-04-26 00:00:00.000 UTC,5,668,2,474,58.78554347400001,667280.6099999996,58.78554347400001,-183095.8099999998
2022-04-27 00:00:00.000 UTC,3,1702,2,1277,43.751352202,1.0885773099999998e+06,43.751352202,131979.75999999992
2022-04-28 00:00:00.000 UTC,7,1662,3,1340,17.5358973918949,1.3321949600000004e+06,17.5358973918949,56644.24999999991
2022-04-29 00:00:00.000 UTC,<nil>,2108,<nil>,1568,<nil>,1.2754579399999995e+06,<nil>,637360.6299999997
2022-04-30 00:00:00.000 UTC,1,1930,1,1562,5.5022302000000005,1.4600375400000003e+06,5.5022302000000005,-193612.7900000002
2022-05-01 00:00:00.000 UTC,8,794,4,694,247.749399885,1.6168997999999998e+06,240.797324885,-8.990834669999998e+06
2022-05-02 00:00:00.000 UTC,1,1251,1,707,<nil>,1.1414840600000005e+06,-0.34548363000000004,275761.8300000001
2022-05-03 00:00:00.000 UTC,1,1314,1,1107,<nil>,1.952445269999999e+06,-4.263525,53580.30000000045
2022-05-04 00:00:00.000 UTC,1,2144,1,1801,0.28321799999999997,2.5083246299999985e+06,0.28321799999999997,1.0340989100000003e+06
2022-05-05 00:00:00.000 UTC,5,3187,2,1434,87.9997,3.1144348400000017e+06,-23.458939999999995,-2.7590231400000043e+06
2022-05-06 00:00:00.000 UTC,1,4723,1,4366,1.098316,3.1805819400000004e+06,1.098316,995741.2599999999
2022-05-07 00:00:00.000 UTC,5,3351,2,2420,53.351000000000006,2.65268785e+06,-1.3428299999999993,585232.1600000001
2022-05-08 00:00:00.000 UTC,5,3375,3,2736,31.343834,2.9572919899999993e+06,-20.090565999999995,-1.171914709e+07
2022-05-09 00:00:00.000 UTC,269,2955,250,2441,11255.202312000005,4.317725509999998e+06,11230.684412000006,-5.99848849e+06
2022-05-10 00:00:00.000 UTC,1654,1628,1588,1198,75453.00034120395,9.400359070000008e+06,74922.68933220398,4.82728244e+06
2022-05-11 00:00:00.000 UTC,777,1359,763,1193,31979.102537466963,1.6078226649999995e+07,31752.97337746696,1.4226877670000002e+07
