block_date,ethereum_user_count,starknet_user_count,zksync_user_count
2022-04-26 00:00:00.000 UTC,503088,2,270
2022-04-27 00:00:00.000 UTC,378933,1,793
2022-04-28 00:00:00.000 UTC,327700,2,893
2022-04-29 00:00:00.000 UTC,292041,<nil>,1068
2022-04-30 00:00:00.000 UTC,275420,<nil>,907
2022-05-01 00:00:00.000 UTC,215186,2,446
2022-05-02 00:00:00.000 UTC,210136,<nil>,432
2022-05-03 00:00:00.000 UTC,195089,<nil>,689
2022-05-04 00:00:00.000 UTC,210373,<nil>,1041
2022-05-05 00:00:00.000 UTC,239491,1,925
2022-05-06 00:00:00.000 UTC,200424,<nil>,1864
2022-05-07 00:00:00.000 UTC,206989,<nil>,1509
2022-05-08 00:00:00.000 UTC,239389,<nil>,1572
2022-05-09 00:00:00.000 UTC,222191,248,1779
2022-05-10 00:00:00.000 UTC,215183,1566,753
2022-05-11 00:00:00.000 UTC,204783,745,893
2022-05-12 00:00:00.000 UTC,319579,248,95
2022-05-13 00:00:00.000 UTC,275113,956,272
2022-05-14 00:00:00.000 UTC,206629,1084,789
2022-05-15 00:00:00.000 UTC,217402,612,1526
2022-05-16 00:00:00.000 UTC,222895,1330,1823
2022-05-17 00:00:00.000 UTC,195842,125,1928
2022-05-18 00:00:00.000 UTC,242624,1212,1764
2022-05-19 00:00:00.000 UTC,196276,206,1175
2022-05-20 00:00:00.000 UTC,177205,784,1348
2022-05-21 00:00:00.000 UTC,200429,613,1955
2022-05-22 00:00:00.000 UTC,182286,1421,1635
2022-05-23 00:00:00.000 UTC,173284,206,1713
2022-05-24 00:00:00.000 UTC,185729,1090,1846
2022-05-25 00:00:00.000 UTC,163142,134,1447
2022-05-26 00:00:00.000 UTC,125189,572,741
2022-05-27 00:00:00.000 UTC,125104,750,791
2022-05-28 00:00:00.000 UTC,183476,115,1371
2022-05-29 00:00:00.000 UTC,181504,90,1328
2022-05-30 00:00:00.000 UTC,126901,574,749
2022-05-31 00:00:00.000 UTC,148236,548,765
2022-06-01 00:00:00.000 UTC,118518,190,1325
2022-06-02 00:00:00.000 UTC,103346,672,908
2022-06-03 00:00:00.000 UTC,98873,304,947
2022-06-04 00:00:00.000 UTC,92231,336,1440
2022-06-05 00:00:00.000 UTC,92143,157,2133
2022-06-06 00:00:00.000 UTC,106995,82,1965
2022-06-07 00:00:00.000 UTC,102581,207,1913
2022-06-08 00:00:00.000 UTC,91480,48,659
2022-06-09 00:00:00.000 UTC,99160,159,1656
2022-06-10 00:00:00.000 UTC,118611,131,1182
2022-06-11 00:00:00.000 UTC,116755,446,2184
2022-06-12 00:00:00.000 UTC,117207,627,1941
2022-06-13 00:00:00.000 UTC,134338,54,414
2022-06-14 00:00:00.000 UTC,126020,740,1263
2022-06-15 00:00:00.000 UTC,124830,95,883
2022-06-16 00:00:00.000 UTC,130823,205,1213
2022-06-17 00:00:00.000 UTC,137289,269,1116
2022-06-18 00:00:00.000 UTC,132730,104,1325
2022-06-19 00:00:00.000 UTC,137661,186,1771
2022-06-20 00:00:00.000 UTC,138882,44,2085
2022-06-21 00:00:00.000 UTC,116403,141,1507
2022-06-22 00:00:00.000 UTC,128975,89,2081
2022-06-23 00:00:00.000 UTC,114200,79,2291
2022-06-24 00:00:00.000 UTC,112427,98,827
2022-06-25 00:00:00.000 UTC,101130,75,503
2022-06-26 00:00:00.000 UTC,88112,147,572
2022-06-27 00:00:00.000 UTC,111265,56,738
2022-06-28 00:00:00.000 UTC,101515,141,551
2022-06-29 00:00:00.000 UTC,95188,78,261
2022-06-30 00:00:00.000 UTC,81858,257,195
2022-07-01 00:00:00.000 UTC,136665,235,382
2022-07-02 00:00:00.000 UTC,174222,115,531
2022-07-03 00:00:00.000 UTC,158172,254,703
2022-07-04 00:00:00.000 UTC,143579,207,258
2022-07-05 00:00:00.000 UTC,136391,85,295
2022-07-06 00:00:00.000 UTC,140321,68,347
2022-07-07 00:00:00.000 UTC,136339,160,979
2022-07-08 00:00:00.000 UTC,128750,179,642
2022-07-09 00:00:00.000 UTC,151515,154,493
2022-07-10 00:00:00.000 UTC,159802,245,372
2022-07-11 00:00:00.000 UTC,120743,163,315
