block_date,starknet_tx_count,zksync_tx_count,starknet_user_count,zksync_user_count,starknet_bridged_amount_usd,zksync_bridged_amount_usd,starknet_balance_amount_usd,zksync_balance_amount_usd
2022-04-26 00:00:00.000 UTC,5,668,2,474,58.785543474,695379.53,58.785543474,-187869.99000000002
2022-04-27 00:00:00.000 UTC,3,1702,2,1277,43.751352202,1.1314429899999993e+06,43.751352202,137677.33000000002
2022-04-28 00:00:00.000 UTC,7,1662,3,1340,17.5358973918949,1.3811789200000016e+06,17.5358973918949,60277.890000000065
2022-04-29 00:00:00.000 UTC,<nil>,2108,<nil>,1568,<nil>,1.32993537e+06,<nil>,664402.8300000001
2022-04-30 00:00:00.000 UTC,1,1930,1,1562,5.5022302000000005,1.5234259300000004e+06,5.5022302000000005,-206590.30999999976
2022-05-01 00:00:00.000 UTC,8,794,4,694,247.749399885,1.6876747200000004e+06,240.79732488499997,-9.2897508e+06
2022-05-02 00:00:00.000 UTC,1,1251,1,707,<nil>,1.1857085200000007e+06,-0.34548363000000004,289328.2500000001
2022-05-03 00:00:00.000 UTC,1,1314,1,1107,<nil>,2.0278637400000005e+06,-4.263525,47744.500000000015
2022-05-04 00:00:00.000 UTC,1,2144,1,1801,0.28321799999999997,2.6063617599999993e+06,0.28321799999999997,1.0758008000000003e+06
2022-05-05 00:00:00.000 UTC,5,3187,2,1434,87.9997,3.24888841e+06,-23.458939999999995,-2.776036939999998e+06
2022-05-06 00:00:00.000 UTC,1,4723,1,4366,1.098316,3.31089815e+06,1.098316,1.03620515e+06
2022-05-07 00:00:00.000 UTC,5,3351,2,2420,53.351000000000006,2.7581529199999995e+06,-1.3428299999999993,607731.2200000002
2022-05-08 00:00:00.000 UTC,5,3375,3,2736,31.343834,3.0751513e+06,-20.090565999999995,-1.2249921289999995e+07
2022-05-09 00:00:00.000 UTC,269,2955,250,2441,11255.202312000009,4.671624279999999e+06,11230.68441200001,-6.076228449999998e+06
2022-05-10 00:00:00.000 UTC,1654,1628,1588,1198,75453.00034120394,9.88969952e+06,74922.68933220393,4.955341580000003e+06
2022-05-11 00:00:00.000 UTC,777,1359,763,1193,31979.102537467003,1.6581379660000002e+07,31752.973377467,1.4604352460000005e+07
2022-05-12 00:00:00.000 UTC,285,334,256,264,12295.496103237003,1.2976013329999993e+07,12250.116653237004,525036.8399999999
2022-05-13 00:00:00.000 UTC,1028,609,981,500,39461.87508859591,1.6492991100000006e+06,38925.70422759593,703061.01
