block_date,ethereum_user_count,starknet_user_count,zksync_user_count
2022-04-01 00:00:00.000 UTC,1.777182e+06,5,9861
2022-05-01 00:00:00.000 UTC,6.208079e+06,15232,36964
2022-06-01 00:00:00.000 UTC,3.371546e+06,6217,37849
2022-07-01 00:00:00.000 UTC,5.296963e+06,4657,19365
2022-08-01 00:00:00.000 UTC,4.835507e+06,4655,19606
2022-09-01 00:00:00.000 UTC,4.46417e+06,2817,21930
2022-10-01 00:00:00.000 UTC,4.003941e+06,15396,53730
2022-11-01 00:00:00.000 UTC,3.733923e+06,27014,52693
2022-12-01 00:00:00.000 UTC,3.817202e+06,29149,35236
2023-01-01 00:00:00.000 UTC,2.731358e+06,12432,11349
2023-02-01 00:00:00.000 UTC,2.401878e+06,11671,19848
2023-03-01 00:00:00.000 UTC,2.797484e+06,124816,292261
2023-04-01 00:00:00.000 UTC,2.595771e+06,137951,264257
2023-05-01 00:00:00.000 UTC,2.688674e+06,64065,224414
2023-06-01 00:00:00.000 UTC,3.106723e+06,80554,381857
2023-07-01 00:00:00.000 UTC,2.772263e+06,107625,345163
2023-08-01 00:00:00.000 UTC,2.583508e+06,181674,239907
2023-09-01 00:00:00.000 UTC,3.477759e+06,248450,268494
2023-10-01 00:00:00.000 UTC,2.594136e+06,112896,155372
2023-11-01 00:00:00.000 UTC,2.401113e+06,48813,64818
2023-12-01 00:00:00.000 UTC,2.909829e+06,7650,67596
2024-01-01 00:00:00.000 UTC,3.121607e+06,6722,144691
2024-02-01 00:00:00.000 UTC,2.893751e+06,5317,116480
2024-03-01 00:00:00.000 UTC,4.199982e+06,877,150014
2024-04-01 00:00:00.000 UTC,3.686578e+06,139,66938
2024-05-01 00:00:00.000 UTC,4.211089e+06,129,38026
2024-06-01 00:00:00.000 UTC,966503,26,2022
