date,claims,cumulative_claims
2024-01-09 00:00:00.000 UTC,22,22
2024-01-10 00:00:00.000 UTC,30,52
2024-01-11 00:00:00.000 UTC,18,70
2024-01-12 00:00:00.000 UTC,51,121
2024-01-13 00:00:00.000 UTC,3,124
2024-01-14 00:00:00.000 UTC,13,137
2024-01-15 00:00:00.000 UTC,42,179
2024-01-16 00:00:00.000 UTC,110,289
2024-01-17 00:00:00.000 UTC,110,399
2024-01-18 00:00:00.000 UTC,77,476
2024-01-19 00:00:00.000 UTC,65,541
2024-01-20 00:00:00.000 UTC,47,588
2024-01-21 00:00:00.000 UTC,80,668
2024-01-22 00:00:00.000 UTC,33,701
2024-01-23 00:00:00.000 UTC,117,818
2024-01-24 00:00:00.000 UTC,57,875
2024-01-25 00:00:00.000 UTC,265,1140
2024-01-26 00:00:00.000 UTC,332,1472
2024-01-27 00:00:00.000 UTC,153,1625
2024-01-28 00:00:00.000 UTC,104,1729
2024-01-29 00:00:00.000 UTC,109,1838
2024-01-30 00:00:00.000 UTC,167,2005
2024-01-31 00:00:00.000 UTC,112,2117
2024-02-01 00:00:00.000 UTC,15007,17124
2024-02-02 00:00:00.000 UTC,31378,48502
2024-02-03 00:00:00.000 UTC,21819,70321
2024-02-04 00:00:00.000 UTC,19047,89368
2024-02-05 00:00:00.000 UTC,19208,108576
2024-02-06 00:00:00.000 UTC,17846,126422
2024-02-07 00:00:00.000 UTC,21952,148374
2024-02-08 00:00:00.000 UTC,16835,165209
2024-02-09 00:00:00.000 UTC,11345,176554
2024-02-10 00:00:00.000 UTC,19016,195570
2024-02-11 00:00:00.000 UTC,21705,217275
2024-02-12 00:00:00.000 UTC,17617,234892
2024-02-13 00:00:00.000 UTC,23105,257997
2024-02-14 00:00:00.000 UTC,15600,273597
2024-02-15 00:00:00.000 UTC,18600,292197
2024-02-16 00:00:00.000 UTC,22091,314288
2024-02-17 00:00:00.000 UTC,26098,340386
2024-02-18 00:00:00.000 UTC,20950,361336
2024-02-19 00:00:00.000 UTC,14094,375430
2024-02-20 00:00:00.000 UTC,13943,389373
2024-02-21 00:00:00.000 UTC,16345,405718
2024-02-22 00:00:00.000 UTC,19168,424886
2024-02-23 00:00:00.000 UTC,17253,442139
2024-02-24 00:00:00.000 UTC,19772,461911
2024-02-25 00:00:00.000 UTC,19218,481129
2024-02-26 00:00:00.000 UTC,14598,495727
2024-02-27 00:00:00.000 UTC,10866,506593
2024-02-28 00:00:00.000 UTC,9643,516236
2024-02-29 00:00:00.000 UTC,7919,524155
2024-03-01 00:00:00.000 UTC,8675,532830
2024-03-02 00:00:00.000 UTC,15368,548198
2024-03-03 00:00:00.000 UTC,16480,564678
2024-03-04 00:00:00.000 UTC,8174,572852
2024-03-05 00:00:00.000 UTC,6365,579217
2024-03-06 00:00:00.000 UTC,5245,584462
2024-03-07 00:00:00.000 UTC,5297,589759
2024-03-08 00:00:00.000 UTC,5929,595688
2024-03-09 00:00:00.000 UTC,10372,606060
2024-03-10 00:00:00.000 UTC,11668,617728
2024-03-11 00:00:00.000 UTC,8312,626040
