day,rolling_sum
2022-03-21 00:00:00.000 UTC,2
2022-04-26 00:00:00.000 UTC,4
2022-04-27 00:00:00.000 UTC,5
2022-04-28 00:00:00.000 UTC,7
2022-05-01 00:00:00.000 UTC,9
2022-05-05 00:00:00.000 UTC,10
2022-05-09 00:00:00.000 UTC,258
2022-05-10 00:00:00.000 UTC,1824
2022-05-11 00:00:00.000 UTC,2571
2022-05-12 00:00:00.000 UTC,2820
2022-05-13 00:00:00.000 UTC,3781
2022-05-14 00:00:00.000 UTC,4869
2022-05-15 00:00:00.000 UTC,5505
2022-05-16 00:00:00.000 UTC,6832
2022-05-17 00:00:00.000 UTC,6967
2022-05-18 00:00:00.000 UTC,8177
2022-05-19 00:00:00.000 UTC,8386
2022-05-20 00:00:00.000 UTC,9165
2022-05-21 00:00:00.000 UTC,9777
2022-05-22 00:00:00.000 UTC,11195
2022-05-23 00:00:00.000 UTC,11423
2022-05-24 00:00:00.000 UTC,12507
2022-05-25 00:00:00.000 UTC,12656
2022-05-26 00:00:00.000 UTC,13231
2022-05-27 00:00:00.000 UTC,13988
2022-05-28 00:00:00.000 UTC,14105
2022-05-29 00:00:00.000 UTC,14201
2022-05-30 00:00:00.000 UTC,14488
2022-05-31 00:00:00.000 UTC,14541
2022-06-01 00:00:00.000 UTC,14601
2022-06-02 00:00:00.000 UTC,15011
2022-06-03 00:00:00.000 UTC,15079
2022-06-04 00:00:00.000 UTC,15098
2022-06-05 00:00:00.000 UTC,15236
2022-06-06 00:00:00.000 UTC,15295
2022-06-07 00:00:00.000 UTC,15515
2022-06-08 00:00:00.000 UTC,15558
2022-06-09 00:00:00.000 UTC,15719
2022-06-10 00:00:00.000 UTC,15842
2022-06-11 00:00:00.000 UTC,15954
2022-06-12 00:00:00.000 UTC,16215
2022-06-13 00:00:00.000 UTC,16251
2022-06-14 00:00:00.000 UTC,16959
2022-06-15 00:00:00.000 UTC,17034
2022-06-16 00:00:00.000 UTC,17180
2022-06-17 00:00:00.000 UTC,17423
2022-06-18 00:00:00.000 UTC,17460
2022-06-19 00:00:00.000 UTC,17611
2022-06-20 00:00:00.000 UTC,17649
2022-06-21 00:00:00.000 UTC,17821
2022-06-22 00:00:00.000 UTC,17905
2022-06-23 00:00:00.000 UTC,18000
2022-06-24 00:00:00.000 UTC,18048
2022-06-25 00:00:00.000 UTC,18119
2022-06-26 00:00:00.000 UTC,18280
2022-06-27 00:00:00.000 UTC,18343
2022-06-28 00:00:00.000 UTC,18496
2022-06-29 00:00:00.000 UTC,18572
2022-06-30 00:00:00.000 UTC,18827
2022-07-01 00:00:00.000 UTC,19063
2022-07-02 00:00:00.000 UTC,19191
2022-07-03 00:00:00.000 UTC,19473
2022-07-04 00:00:00.000 UTC,19632
2022-07-05 00:00:00.000 UTC,19714
2022-07-06 00:00:00.000 UTC,19766
2022-07-07 00:00:00.000 UTC,19942
2022-07-08 00:00:00.000 UTC,20138
2022-07-09 00:00:00.000 UTC,20272
2022-07-10 00:00:00.000 UTC,20515
2022-07-11 00:00:00.000 UTC,20678
2022-07-12 00:00:00.000 UTC,20841
2022-07-13 00:00:00.000 UTC,20940
2022-07-14 00:00:00.000 UTC,21104
2022-07-15 00:00:00.000 UTC,21170
2022-07-16 00:00:00.000 UTC,21348
2022-07-17 00:00:00.000 UTC,21429
2022-07-18 00:00:00.000 UTC,21534
2022-07-19 00:00:00.000 UTC,21601
2022-07-20 00:00:00.000 UTC,21878
2022-07-21 00:00:00.000 UTC,22102
2022-07-22 00:00:00.000 UTC,22286
2022-07-23 00:00:00.000 UTC,22564
2022-07-24 00:00:00.000 UTC,22744
2022-07-25 00:00:00.000 UTC,22902
2022-07-26 00:00:00.000 UTC,22958
2022-07-27 00:00:00.000 UTC,23050
2022-07-28 00:00:00.000 UTC,23093
2022-07-29 00:00:00.000 UTC,23139
2022-07-30 00:00:00.000 UTC,23250
2022-07-31 00:00:00.000 UTC,23396
2022-08-01 00:00:00.000 UTC,23542
2022-08-02 00:00:00.000 UTC,23660
2022-08-03 00:00:00.000 UTC,23805
2022-08-04 00:00:00.000 UTC,23935
2022-08-05 00:00:00.000 UTC,24084
2022-08-06 00:00:00.000 UTC,24355
2022-08-07 00:00:00.000 UTC,24561
2022-08-08 00:00:00.000 UTC,24672
2022-08-09 00:00:00.000 UTC,24801
2022-08-10 00:00:00.000 UTC,24956
2022-08-11 00:00:00.000 UTC,25075
2022-08-12 00:00:00.000 UTC,25157
2022-08-13 00:00:00.000 UTC,25355
2022-08-14 00:00:00.000 UTC,25516
2022-08-15 00:00:00.000 UTC,25576
2022-08-16 00:00:00.000 UTC,25746
2022-08-17 00:00:00.000 UTC,26096
2022-08-18 00:00:00.000 UTC,26304
2022-08-19 00:00:00.000 UTC,26365
2022-08-20 00:00:00.000 UTC,26548
2022-08-21 00:00:00.000 UTC,26801
2022-08-22 00:00:00.000 UTC,26974
2022-08-23 00:00:00.000 UTC,27184
2022-08-24 00:00:00.000 UTC,27301
2022-08-25 00:00:00.000 UTC,27401
2022-08-26 00:00:00.000 UTC,27538
2022-08-27 00:00:00.000 UTC,27767
2022-08-28 00:00:00.000 UTC,27877
2022-08-29 00:00:00.000 UTC,27960
2022-08-30 00:00:00.000 UTC,28037
2022-08-31 00:00:00.000 UTC,28115
2022-09-01 00:00:00.000 UTC,28291
2022-09-02 00:00:00.000 UTC,28354
2022-09-03 00:00:00.000 UTC,28469
2022-09-04 00:00:00.000 UTC,28724
2022-09-05 00:00:00.000 UTC,28899
2022-09-06 00:00:00.000 UTC,29028
2022-09-07 00:00:00.000 UTC,29126
2022-09-08 00:00:00.000 UTC,29178
2022-09-09 00:00:00.000 UTC,29221
2022-09-10 00:00:00.000 UTC,29293
2022-09-11 00:00:00.000 UTC,29367
2022-09-12 00:00:00.000 UTC,29462
2022-09-13 00:00:00.000 UTC,29511
2022-09-14 00:00:00.000 UTC,29585
2022-09-15 00:00:00.000 UTC,29624
2022-09-16 00:00:00.000 UTC,29697
2022-09-17 00:00:00.000 UTC,29809
2022-09-18 00:00:00.000 UTC,29932
2022-09-19 00:00:00.000 UTC,29991
2022-09-20 00:00:00.000 UTC,30072
2022-09-21 00:00:00.000 UTC,30161
2022-09-22 00:00:00.000 UTC,30199
2022-09-23 00:00:00.000 UTC,30266
2022-09-24 00:00:00.000 UTC,30372
2022-09-25 00:00:00.000 UTC,30466
2022-09-26 00:00:00.000 UTC,30596
2022-09-27 00:00:00.000 UTC,30662
2022-09-28 00:00:00.000 UTC,30795
2022-09-29 00:00:00.000 UTC,30869
2022-09-30 00:00:00.000 UTC,30948
2022-10-01 00:00:00.000 UTC,31040
2022-10-02 00:00:00.000 UTC,31201
2022-10-03 00:00:00.000 UTC,31322
2022-10-04 00:00:00.000 UTC,31458
2022-10-05 00:00:00.000 UTC,31592
2022-10-06 00:00:00.000 UTC,31701
2022-10-07 00:00:00.000 UTC,31808
2022-10-08 00:00:00.000 UTC,31890
2022-10-09 00:00:00.000 UTC,31951
2022-10-10 00:00:00.000 UTC,31991
2022-10-11 00:00:00.000 UTC,32063
2022-10-12 00:00:00.000 UTC,32132
2022-10-13 00:00:00.000 UTC,32186
2022-10-14 00:00:00.000 UTC,32233
2022-10-15 00:00:00.000 UTC,32285
2022-10-16 00:00:00.000 UTC,32419
2022-10-17 00:00:00.000 UTC,32483
2022-10-18 00:00:00.000 UTC,32534
2022-10-19 00:00:00.000 UTC,32846
2022-10-20 00:00:00.000 UTC,33288
2022-10-21 00:00:00.000 UTC,33873
2022-10-22 00:00:00.000 UTC,34487
2022-10-23 00:00:00.000 UTC,35690
2022-10-24 00:00:00.000 UTC,37418
2022-10-25 00:00:00.000 UTC,39055
2022-10-26 00:00:00.000 UTC,40339
2022-10-27 00:00:00.000 UTC,42737
2022-10-28 00:00:00.000 UTC,43788
2022-10-29 00:00:00.000 UTC,44670
2022-10-30 00:00:00.000 UTC,45632
2022-10-31 00:00:00.000 UTC,46311
2022-11-01 00:00:00.000 UTC,47314
2022-11-02 00:00:00.000 UTC,48241
2022-11-03 00:00:00.000 UTC,48861
2022-11-04 00:00:00.000 UTC,49467
2022-11-05 00:00:00.000 UTC,50307
2022-11-06 00:00:00.000 UTC,51464
2022-11-07 00:00:00.000 UTC,52229
2022-11-08 00:00:00.000 UTC,52889
2022-11-09 00:00:00.000 UTC,53122
2022-11-10 00:00:00.000 UTC,53423
2022-11-11 00:00:00.000 UTC,53845
2022-11-12 00:00:00.000 UTC,54512
2022-11-13 00:00:00.000 UTC,54976
2022-11-14 00:00:00.000 UTC,55416
2022-11-15 00:00:00.000 UTC,56049
2022-11-16 00:00:00.000 UTC,57065
2022-11-17 00:00:00.000 UTC,58433
2022-11-18 00:00:00.000 UTC,59847
2022-11-19 00:00:00.000 UTC,61224
2022-11-20 00:00:00.000 UTC,62488
2022-11-21 00:00:00.000 UTC,63774
2022-11-22 00:00:00.000 UTC,64861
2022-11-23 00:00:00.000 UTC,65800
2022-11-24 00:00:00.000 UTC,66915
2022-11-25 00:00:00.000 UTC,68112
2022-11-26 00:00:00.000 UTC,69211
2022-11-27 00:00:00.000 UTC,70290
2022-11-28 00:00:00.000 UTC,71085
2022-11-29 00:00:00.000 UTC,72280
2022-11-30 00:00:00.000 UTC,73321
2022-12-01 00:00:00.000 UTC,74579
2022-12-02 00:00:00.000 UTC,75945
2022-12-03 00:00:00.000 UTC,78293
2022-12-04 00:00:00.000 UTC,81272
2022-12-05 00:00:00.000 UTC,83206
2022-12-06 00:00:00.000 UTC,84677
2022-12-07 00:00:00.000 UTC,87121
2022-12-08 00:00:00.000 UTC,88901
2022-12-09 00:00:00.000 UTC,89590
2022-12-10 00:00:00.000 UTC,90724
2022-12-11 00:00:00.000 UTC,91621
2022-12-12 00:00:00.000 UTC,92323
2022-12-13 00:00:00.000 UTC,92922
2022-12-14 00:00:00.000 UTC,93691
2022-12-15 00:00:00.000 UTC,94884
2022-12-16 00:00:00.000 UTC,95555
2022-12-17 00:00:00.000 UTC,96280
2022-12-18 00:00:00.000 UTC,96721
2022-12-19 00:00:00.000 UTC,97161
2022-12-20 00:00:00.000 UTC,97798
2022-12-21 00:00:00.000 UTC,98320
2022-12-22 00:00:00.000 UTC,98909
2022-12-23 00:00:00.000 UTC,99316
2022-12-24 00:00:00.000 UTC,99841
2022-12-25 00:00:00.000 UTC,100273
2022-12-26 00:00:00.000 UTC,100710
2022-12-27 00:00:00.000 UTC,101094
2022-12-28 00:00:00.000 UTC,101452
2022-12-29 00:00:00.000 UTC,101809
2022-12-30 00:00:00.000 UTC,102294
2022-12-31 00:00:00.000 UTC,102508
2023-01-01 00:00:00.000 UTC,102826
2023-01-02 00:00:00.000 UTC,103158
2023-01-03 00:00:00.000 UTC,103561
2023-01-04 00:00:00.000 UTC,104415
2023-01-05 00:00:00.000 UTC,105220
2023-01-06 00:00:00.000 UTC,107020
2023-01-07 00:00:00.000 UTC,107908
2023-01-08 00:00:00.000 UTC,108645
2023-01-09 00:00:00.000 UTC,109378
2023-01-10 00:00:00.000 UTC,109735
2023-01-11 00:00:00.000 UTC,110101
2023-01-12 00:00:00.000 UTC,110377
2023-01-13 00:00:00.000 UTC,110683
2023-01-14 00:00:00.000 UTC,110944
2023-01-15 00:00:00.000 UTC,111177
2023-01-16 00:00:00.000 UTC,111373
2023-01-17 00:00:00.000 UTC,111560
2023-01-18 00:00:00.000 UTC,111722
2023-01-19 00:00:00.000 UTC,111941
2023-01-20 00:00:00.000 UTC,112112
2023-01-21 00:00:00.000 UTC,112261
2023-01-22 00:00:00.000 UTC,112509
2023-01-23 00:00:00.000 UTC,112762
2023-01-24 00:00:00.000 UTC,113024
2023-01-25 00:00:00.000 UTC,113336
2023-01-26 00:00:00.000 UTC,113583
2023-01-27 00:00:00.000 UTC,113855
2023-01-28 00:00:00.000 UTC,114165
2023-01-29 00:00:00.000 UTC,114380
2023-01-30 00:00:00.000 UTC,114639
2023-01-31 00:00:00.000 UTC,114907
2023-02-01 00:00:00.000 UTC,115259
2023-02-02 00:00:00.000 UTC,115526
2023-02-03 00:00:00.000 UTC,115796
2023-02-04 00:00:00.000 UTC,116093
2023-02-05 00:00:00.000 UTC,116870
2023-02-06 00:00:00.000 UTC,117430
2023-02-07 00:00:00.000 UTC,117684
2023-02-08 00:00:00.000 UTC,118489
2023-02-09 00:00:00.000 UTC,118884
2023-02-10 00:00:00.000 UTC,119314
2023-02-11 00:00:00.000 UTC,119810
2023-02-12 00:00:00.000 UTC,120178
2023-02-13 00:00:00.000 UTC,120600
2023-02-14 00:00:00.000 UTC,121077
2023-02-15 00:00:00.000 UTC,121270
2023-02-16 00:00:00.000 UTC,121391
2023-02-17 00:00:00.000 UTC,121758
2023-02-18 00:00:00.000 UTC,122124
2023-02-19 00:00:00.000 UTC,122640
2023-02-20 00:00:00.000 UTC,123046
2023-02-21 00:00:00.000 UTC,123317
2023-02-22 00:00:00.000 UTC,123610
2023-02-23 00:00:00.000 UTC,123825
2023-02-24 00:00:00.000 UTC,124088
2023-02-25 00:00:00.000 UTC,124838
2023-02-26 00:00:00.000 UTC,125431
2023-02-27 00:00:00.000 UTC,126067
2023-02-28 00:00:00.000 UTC,126533
2023-03-01 00:00:00.000 UTC,126893
2023-03-02 00:00:00.000 UTC,127365
2023-03-03 00:00:00.000 UTC,127916
2023-03-04 00:00:00.000 UTC,128525
2023-03-05 00:00:00.000 UTC,129091
2023-03-06 00:00:00.000 UTC,129547
2023-03-07 00:00:00.000 UTC,130103
2023-03-08 00:00:00.000 UTC,130551
2023-03-09 00:00:00.000 UTC,130875
2023-03-10 00:00:00.000 UTC,131399
2023-03-11 00:00:00.000 UTC,131479
2023-03-12 00:00:00.000 UTC,132349
2023-03-13 00:00:00.000 UTC,132924
2023-03-14 00:00:00.000 UTC,133393
2023-03-15 00:00:00.000 UTC,134060
2023-03-16 00:00:00.000 UTC,135005
2023-03-17 00:00:00.000 UTC,137747
2023-03-18 00:00:00.000 UTC,143603
2023-03-19 00:00:00.000 UTC,149780
2023-03-20 00:00:00.000 UTC,156152
2023-03-21 00:00:00.000 UTC,165872
2023-03-22 00:00:00.000 UTC,176896
2023-03-23 00:00:00.000 UTC,185541
2023-03-24 00:00:00.000 UTC,196118
2023-03-25 00:00:00.000 UTC,208265
2023-03-26 00:00:00.000 UTC,219462
2023-03-27 00:00:00.000 UTC,227309
2023-03-28 00:00:00.000 UTC,233722
2023-03-29 00:00:00.000 UTC,238842
2023-03-30 00:00:00.000 UTC,243183
2023-03-31 00:00:00.000 UTC,251476
2023-04-01 00:00:00.000 UTC,260246
2023-04-02 00:00:00.000 UTC,269704
2023-04-03 00:00:00.000 UTC,275314
2023-04-04 00:00:00.000 UTC,281228
2023-04-05 00:00:00.000 UTC,283932
2023-04-06 00:00:00.000 UTC,288053
2023-04-07 00:00:00.000 UTC,296129
2023-04-08 00:00:00.000 UTC,305532
2023-04-09 00:00:00.000 UTC,313607
2023-04-10 00:00:00.000 UTC,320503
2023-04-11 00:00:00.000 UTC,327011
2023-04-12 00:00:00.000 UTC,335446
2023-04-13 00:00:00.000 UTC,338782
2023-04-14 00:00:00.000 UTC,342527
2023-04-15 00:00:00.000 UTC,348952
2023-04-16 00:00:00.000 UTC,355454
2023-04-17 00:00:00.000 UTC,358679
2023-04-18 00:00:00.000 UTC,360725
2023-04-19 00:00:00.000 UTC,361653
2023-04-20 00:00:00.000 UTC,363042
2023-04-21 00:00:00.000 UTC,365083
2023-04-22 00:00:00.000 UTC,368473
2023-04-23 00:00:00.000 UTC,370842
2023-04-24 00:00:00.000 UTC,373105
2023-04-25 00:00:00.000 UTC,375957
2023-04-26 00:00:00.000 UTC,379484
2023-04-27 00:00:00.000 UTC,382645
2023-04-28 00:00:00.000 UTC,385387
2023-04-29 00:00:00.000 UTC,387736
2023-04-30 00:00:00.000 UTC,389754
2023-05-01 00:00:00.000 UTC,390089
2023-05-02 00:00:00.000 UTC,390472
2023-05-03 00:00:00.000 UTC,391483
2023-05-04 00:00:00.000 UTC,393080
2023-05-05 00:00:00.000 UTC,393675
2023-05-06 00:00:00.000 UTC,394047
2023-05-07 00:00:00.000 UTC,395218
2023-05-08 00:00:00.000 UTC,397144
2023-05-09 00:00:00.000 UTC,400467
2023-05-10 00:00:00.000 UTC,401270
2023-05-11 00:00:00.000 UTC,402349
2023-05-12 00:00:00.000 UTC,404222
2023-05-13 00:00:00.000 UTC,407655
2023-05-14 00:00:00.000 UTC,410871
2023-05-15 00:00:00.000 UTC,413214
2023-05-16 00:00:00.000 UTC,416199
