Address,Decimals,Holders,Name,Symbol,Transfers,Type
0x05dbdedc203e92749e2e746e2d40a768d966bd243df04a6b712e222bc040a9af,,4320634,Starknet.id,ID,4624503,erc721
0x076503062d78f4481be03c9145022d6a4a71ec0719aa07756f79a2384dc7ef16,,2936235,Starknet Quest,SKQ,3075184,erc721
0x01b22f7a9d18754c994ae0ee9adb4628d414232e3ebd748c386ac286f86c3066,,2381658,Xplorer,XPLORER,2465288,erc721
0x00057c4b510d66eb1188a7173f31cccee47b9736d40185da8144377b896d5ff3,,964248,Starknet Journey Set,STRKJOURSET,1005143,erc721
0x060582df2cd4ad2c988b11fdede5c43f56a432e895df255ccd1af129160044b8,,865737,StarkVerse Gallery,SVG,898050,erc721
0x07606cac9053e9b8b573a4b0a0ce608880f64869e24b8a605210d7a85bb6e5f1,,659984,Spok,SPOK,695216,erc721
0x04a3621276a83251b557a8140e915599ae8e7b6207b067ea701635c0d509801e,,529947,Mint Square Storefront,MINTSQ,640656,erc721
0x07b696af58c967c1b14c9dde0ace001720635a660a8e90c565ea459345318b30,,401455,Ekubo Position,EkuPo,855546,erc721
0x01435498bf393da86b4733b9264a86b58a42b31f8d8b8ba309593e5c17847672,,334169,briq,briq,549517,erc721
0x0106c94dc954944b3893e2102d9ad5065d04a0ec9b08910891d8eedb75965334,,331434,Defi Adventure,DFA,350649,erc721
0x067c358ec1181fc1e19daeebae1029cb478bb71917a5659a83a361c012fe3b6b,,184685,Braavos Titans Armor Set,BRVSTTNARMR,190166,erc721
0x07c351118b538157458aebedb92212624027f4813ab39cd7971df9f1720f7633,,176016,Alpha Coins,MYSWAPALPHA,179046,erc721
0x03090623ea32d932ca1236595076b00702e7d860696faf300ca9eb13bfe0a78c,,120564,Aspect,ASPECT,186328,erc721
0x041302e7d6c1329ceb18df33107ff285e3a46329f281aba2b0eb957240649760,,100478,The Crown of Stark,TCS,119672,erc721
0x00b719f69b00a008a797dc48585449730aa1c09901fdbac1bc94b3bdc287cf76,,91272,Quantum Leap,QTM,101785,erc721
0x00fff107e2403123c7df78d91728a7ee5cfd557aec0fa2d2bdc5891c286bbfff,,78444,mySwap Position NFT,MYSWAP-POS,339134,erc721
